Timestamp,Prediction,Probability
2025-04-15 22:59:59,Tomat Masih Segar,0.9337
2025-04-15 22:59:59,Tomat Masih Segar,0.9508
2025-04-15 22:59:59,Tomat Masih Segar,0.9498
2025-04-17 01:19:28,Tomat Masih Segar,0.7140
2025-04-17 01:19:28,Tomat Masih Segar,0.9602
2025-04-17 01:19:29,Tomat Sudah Membusuk,0.9736
2025-04-17 01:19:29,Tomat Sudah Membusuk,0.9747
2025-04-17 01:19:29,Tomat Masih Segar,0.9553
2025-04-17 01:19:29,Tomat Masih Segar,0.8228
2025-04-17 01:19:30,Tomat Masih Segar,0.9285
2025-04-17 01:19:30,Tomat Masih Segar,0.9157
2025-04-17 01:19:30,Tomat Masih Segar,0.9063
2025-04-17 01:19:31,Tomat Masih Segar,0.8939
2025-04-17 01:19:31,Tomat Masih Segar,0.9105
2025-04-17 01:19:31,Tomat Masih Segar,0.9339
2025-04-17 01:19:32,Tomat Masih Segar,0.9700
2025-04-17 01:19:32,Tomat Masih Segar,0.9027
2025-04-17 01:19:32,Tomat Masih Segar,0.5453
2025-04-17 01:19:33,Tomat Masih Segar,0.8824
2025-04-17 01:19:33,Tomat Masih Segar,0.9093
2025-04-17 01:19:33,Tomat Masih Segar,0.7873
2025-04-17 01:19:34,Tomat Sudah Membusuk,0.9752
2025-04-17 01:19:34,Tomat Masih Segar,0.9375
2025-04-17 01:19:34,Tomat Masih Segar,0.9572
2025-04-17 01:19:35,Tomat Masih Segar,0.8831
2025-04-17 01:19:35,Tomat Masih Segar,0.9484
2025-04-17 01:19:35,Tomat Masih Segar,0.8845
2025-04-17 01:19:36,Tomat Masih Segar,0.9320
2025-04-17 01:19:36,Tomat Masih Segar,0.9141
2025-04-17 01:19:36,Tomat Masih Segar,0.8612
2025-04-17 01:19:37,Tomat Masih Segar,0.8983
2025-04-17 01:19:37,Tomat Masih Segar,0.8003
2025-04-17 01:19:37,Tomat Masih Segar,0.8783
2025-04-17 01:19:38,Tomat Masih Segar,0.8467
2025-04-17 01:19:38,Tomat Masih Segar,0.8329
2025-04-17 01:19:39,Tomat Masih Segar,0.8136
2025-04-17 01:19:39,Tomat Masih Segar,0.7867
2025-04-17 01:19:39,Tomat Masih Segar,0.7729
2025-04-17 01:19:40,Tomat Masih Segar,0.8217
2025-04-17 01:19:40,Tomat Masih Segar,0.9343
2025-04-17 01:19:40,Tomat Masih Segar,0.9682
2025-04-17 01:19:41,Tomat Masih Segar,0.9481
2025-04-17 01:19:41,Tomat Masih Segar,0.9591
2025-04-17 01:19:41,Tomat Masih Segar,0.9217
2025-04-17 01:19:42,Tomat Masih Segar,0.8946
2025-04-17 01:19:42,Tomat Masih Segar,0.9006
2025-04-17 01:19:43,Tomat Masih Segar,0.8768
2025-04-17 01:19:43,Tomat Masih Segar,0.9344
2025-04-17 01:19:43,Tomat Masih Segar,0.8995
2025-04-17 01:19:44,Tomat Masih Segar,0.9075
2025-04-17 01:19:44,Tomat Masih Segar,0.8892
2025-04-17 01:19:44,Tomat Masih Segar,0.8727
2025-04-17 01:19:45,Tomat Masih Segar,0.8949
2025-04-17 01:19:45,Tomat Masih Segar,0.7822
2025-04-17 01:19:45,Tomat Masih Segar,0.7864
2025-04-17 01:19:46,Tomat Masih Segar,0.8718
2025-04-17 01:19:46,Tomat Masih Segar,0.8624
2025-04-17 01:19:46,Tomat Masih Segar,0.9168
2025-04-17 01:19:47,Tomat Masih Segar,0.8429
2025-04-17 01:19:47,Tomat Masih Segar,0.8928
2025-04-17 01:19:47,Tomat Masih Segar,0.5514
2025-04-17 01:19:48,Tomat Masih Segar,0.4777
2025-04-17 01:19:48,Tomat Masih Segar,0.7796
2025-04-17 01:19:48,Tomat Masih Segar,0.8393
2025-04-17 01:19:49,Tomat Masih Segar,0.8213
2025-04-17 01:19:50,Tomat Masih Segar,0.9219
2025-04-17 01:19:50,Tomat Masih Segar,0.9371
2025-04-17 01:19:51,Tomat Masih Segar,0.8527
2025-04-17 01:19:51,Tomat Masih Segar,0.9423
2025-04-17 01:19:51,Tomat Masih Segar,0.9604
2025-04-17 01:19:52,Tomat Masih Segar,0.9605
2025-04-17 01:19:52,Tomat Masih Segar,0.9545
2025-04-17 01:19:52,Tomat Masih Segar,0.9467
2025-04-17 01:19:52,Tomat Masih Segar,0.9294
2025-04-17 01:19:53,Tomat Masih Segar,0.9559
2025-04-17 01:19:53,Tomat Masih Segar,0.9504
2025-04-17 01:19:53,Tomat Masih Segar,0.9373
2025-04-17 01:19:54,Tomat Masih Segar,0.8470
2025-04-17 01:19:54,Tomat Masih Segar,0.8916
2025-04-17 01:19:54,Tomat Masih Segar,0.8249
2025-04-17 01:19:55,Tomat Masih Segar,0.7807
2025-04-17 01:19:55,Tomat Masih Segar,0.7944
2025-04-17 01:19:55,Tomat Masih Segar,0.7966
2025-04-17 01:19:56,Tomat Masih Segar,0.7858
2025-04-17 01:19:56,Tomat Masih Segar,0.9104
2025-04-17 01:19:56,Tomat Masih Segar,0.9525
2025-04-17 01:19:57,Tomat Masih Segar,0.9105
2025-04-17 01:19:57,Tomat Masih Segar,0.9331
2025-04-17 01:19:57,Tomat Masih Segar,0.9166
2025-04-17 01:19:58,Tomat Masih Segar,0.9215
2025-04-17 01:19:58,Tomat Masih Segar,0.9070
2025-04-17 01:19:58,Tomat Masih Segar,0.8630
2025-04-17 01:19:59,Tomat Masih Segar,0.8800
2025-04-17 01:19:59,Tomat Masih Segar,0.8852
2025-04-17 01:19:59,Tomat Masih Segar,0.9484
2025-04-17 01:20:00,Tomat Masih Segar,0.9427
2025-04-17 01:20:00,Tomat Masih Segar,0.8950
2025-04-17 01:20:00,Tomat Masih Segar,0.8403
2025-04-17 01:20:01,Tomat Masih Segar,0.8829
2025-04-17 01:20:01,Tomat Masih Segar,0.8025
2025-04-17 01:20:01,Tomat Masih Segar,0.8262
2025-04-17 01:20:02,Tomat Masih Segar,0.8227
2025-04-17 01:20:02,Tomat Masih Segar,0.8445
2025-04-17 01:20:02,Tomat Masih Segar,0.9119
2025-04-17 01:20:03,Tomat Masih Segar,0.8602
2025-04-17 01:20:03,Tomat Masih Segar,0.9138
2025-04-17 01:20:04,Tomat Masih Segar,0.8985
2025-04-17 01:20:04,Tomat Masih Segar,0.8997
2025-04-17 01:20:04,Tomat Masih Segar,0.9123
2025-04-17 01:20:05,Tomat Masih Segar,0.9062
2025-04-17 01:20:05,Tomat Masih Segar,0.8963
2025-04-17 01:20:05,Tomat Masih Segar,0.8800
2025-04-17 01:20:06,Tomat Masih Segar,0.9047
2025-04-17 01:20:06,Tomat Masih Segar,0.8534
2025-04-17 01:20:06,Tomat Masih Segar,0.9219
2025-04-17 01:20:07,Tomat Masih Segar,0.9265
2025-04-17 01:20:07,Tomat Masih Segar,0.9515
2025-04-17 01:20:07,Tomat Masih Segar,0.9249
2025-04-17 01:20:08,Tomat Masih Segar,0.9064
2025-04-17 01:20:08,Tomat Masih Segar,0.9264
2025-04-17 01:20:08,Tomat Masih Segar,0.8807
2025-04-17 01:20:09,Tomat Masih Segar,0.8720
2025-04-17 01:20:09,Tomat Masih Segar,0.7905
2025-04-17 01:20:09,Tomat Masih Segar,0.9241
2025-04-17 01:20:10,Tomat Masih Segar,0.9506
2025-04-17 01:20:10,Tomat Masih Segar,0.9415
2025-04-17 01:20:10,Tomat Masih Segar,0.9609
2025-04-17 01:20:11,Tomat Masih Segar,0.8945
2025-04-17 01:20:11,Tomat Masih Segar,0.8758
2025-04-17 01:20:11,Tomat Masih Segar,0.8498
2025-04-17 01:20:11,Tomat Masih Segar,0.9286
2025-04-17 01:20:12,Tomat Masih Segar,0.8338
2025-04-17 01:20:12,Tomat Masih Segar,0.8786
2025-04-17 01:20:12,Tomat Masih Segar,0.9012
2025-04-17 01:20:13,Tomat Masih Segar,0.8769
2025-04-17 01:20:13,Tomat Masih Segar,0.9117
2025-04-17 01:20:14,Tomat Masih Segar,0.8715
2025-04-17 01:20:14,Tomat Masih Segar,0.8302
2025-04-17 01:20:14,Tomat Masih Segar,0.8905
2025-04-17 01:20:15,Tomat Masih Segar,0.8213
2025-04-17 01:20:15,Tomat Masih Segar,0.9063
2025-04-17 01:20:15,Tomat Masih Segar,0.8445
2025-04-17 01:20:16,Tomat Masih Segar,0.8030
2025-04-17 01:20:16,Tomat Masih Segar,0.8131
2025-04-17 01:20:17,Tomat Masih Segar,0.8561
2025-04-17 01:20:17,Tomat Masih Segar,0.9053
2025-04-17 01:20:18,Tomat Masih Segar,0.9228
2025-04-17 01:20:18,Tomat Masih Segar,0.8872
2025-04-17 01:20:18,Tomat Masih Segar,0.8195
2025-04-17 01:20:19,Tomat Masih Segar,0.8262
2025-04-17 01:20:19,Tomat Masih Segar,0.8384
2025-04-17 01:20:19,Tomat Masih Segar,0.7762
2025-04-17 01:20:20,Tomat Masih Segar,0.8029
2025-04-17 01:20:20,Tomat Masih Segar,0.8543
2025-04-17 01:20:21,Tomat Masih Segar,0.8155
2025-04-17 01:20:21,Tomat Masih Segar,0.8022
2025-04-17 01:20:21,Tomat Masih Segar,0.8599
2025-04-17 01:20:21,Tomat Masih Segar,0.8448
2025-04-17 01:20:22,Tomat Masih Segar,0.9156
